experience,age,governorate,disability,education,gender,clusters,nodes,durations
0,20,amman,no_disability,secondary_or_below,male,1,8,9.1
0,20,amman,no_disability,secondary_or_below,male,1,8,11.2
0,20,irbid,no_disability,secondary_or_below,male,1,0,2.0333333
0,20,amman,no_disability,secondary_or_below,male,1,8,8.318295
0,20,tafileh,no_disability,secondary_or_below,male,1,2,12.166667
0,20,zarqa,no_disability,secondary_or_below,male,1,5,18.181835
0,20,amman,no_disability,secondary_or_below,male,1,8,3.0666666
0,20,irbid,no_disability,secondary_or_below,male,1,0,9.586719
0,20,amman,no_disability,secondary_or_below,male,1,8,6.6485677
0,20,amman,no_disability,secondary_or_below,male,1,8,2.0333333
0,20,irbid,no_disability,secondary_or_below,male,1,0,11.133333
0,20,amman,no_disability,secondary_or_below,male,1,8,10.1
0,20,zarqa,no_disability,secondary_or_below,male,1,5,3.0333333
0,20,amman,no_disability,secondary_or_below,male,1,8,7.0666666
0,20,irbid,no_disability,secondary_or_below,male,1,0,2.0333333
0,20,irbid,no_disability,secondary_or_below,male,1,0,8.1
0,20,irbid,no_disability,secondary_or_below,male,1,0,3.0333333
1,20,irbid,no_disability,secondary_or_below,male,1,4,2.0333333
5,20,zarqa,no_disability,secondary_or_below,male,0,17,40.6
0,20,irbid,no_disability,secondary_or_below,male,1,0,10.150911
0,20,irbid,no_disability,secondary_or_below,male,1,0,5.1
0,20,irbid,no_disability,vocational_training,male,1,0,2.3529296
0,20,amman,no_disability,bachelor_or_above,male,2,7,2.0333333
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,19.3
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,4.0
0,20,amman,no_disability,secondary_or_below,male,1,8,18.04922
0,20,amman,no_disability,secondary_or_below,male,1,8,5.8508463
0,20,zarqa,no_disability,secondary_or_below,male,1,5,4.7503257
0,20,amman,no_disability,secondary_or_below,male,1,8,19.233334
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,11.551106
0,20,zarqa,no_disability,secondary_or_below,male,1,5,13.2
1,20,amman,no_disability,secondary_or_below,male,1,12,16.233334
1,20,amman,no_disability,secondary_or_below,male,1,12,2.9666667
1,20,amman,no_disability,secondary_or_below,male,1,12,3.0666666
0,20,irbid,no_disability,secondary_or_below,male,1,0,9.1
0,20,amman,no_disability,secondary_or_below,male,1,8,9.133333
0,20,amman,no_disability,secondary_or_below,male,1,8,6.133333
0,20,maadaba,no_disability,secondary_or_below,male,1,2,22.885677
0,20,al_aqaba,no_disability,vocational_training,male,1,3,13.420638
0,20,amman,no_disability,secondary_or_below,male,1,8,16.92116
0,20,amman,with_disability,secondary_or_below,male,1,8,9.7847
0,20,amman,no_disability,secondary_or_below,male,1,8,3.0333333
0,20,zarqa,no_disability,secondary_or_below,male,1,5,3.31569
0,20,amman,no_disability,secondary_or_below,male,1,8,7.0666666
1,20,amman,no_disability,secondary_or_below,male,1,12,4.0
